id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
1,3788,86.95241143,56.44476861,0.760664242,3866,69.44804818,0.80067639,235.476,0.85847279,1.540486631,1
2,4301,94.91539197,59.82281961,0.776371784,4427,74.00137351,0.801229508,257.607,0.814449173,1.586608465,1
3,3475,84.58114773,53.1912048,0.777504169,3539,66.5169709,0.652214715,221.295,0.891705551,1.590134084,1
4,5619,102.9935905,72.79116504,0.707459067,5911,84.58329032,0.694046443,294.707,0.812995222,1.414918836,0
5,6653,111.0279476,78.27600818,0.709195619,6814,92.03728968,0.634344012,313.111,0.85276769,1.418416066,0
6,4842,155.783126,39.82344367,0.966773667,4958,78.51767875,0.409056349,332.994,0.548733952,3.911844673,1
7,5960,109.1065,72.64047778,0.746151765,6089,87.112041,0.734170978,299.743,0.833600611,1.502006916,0
8,5048,157.7353692,40.79683232,0.965973518,5161,80.17052589,0.551693989,336.835,0.559106815,3.866363152,1
9,6322,112.8338549,74.00227669,0.75488975,6487,89.71856219,0.781941868,307.401,0.840724694,1.524734913,0
10,6314,112.4120263,73.66729388,0.755340223,6510,89.66177829,0.638422649,311.873,0.815753387,1.525942117,0
11,6713,120.9223482,72.71525455,0.798994429,7013,92.45137675,0.670964518,322.57,0.810734329,1.662957091,0
12,7493,128.5983865,76.72481985,0.802521274,7682,97.67488883,0.70528991,339.151,0.818614424,1.676098904,0
13,5678,167.874206,43.8388397,0.965300665,5878,85.02619676,0.791689905,356.633,0.560999144,3.82934875,1
14,7438,131.7885765,73.57020879,0.82967669,7537,97.31575275,0.833109319,331.591,0.850081508,1.791330739,0
15,6169,173.7154738,45.47449922,0.965128724,6273,88.62626446,0.3855625,369.9,0.566573127,3.820063482,1
16,4533,151.6588115,39.70771069,0.965116006,4709,75.97101326,0.781551724,318.971,0.559877717,3.819379382,1
17,5235,158.7175663,42.52635062,0.963436361,5331,81.64195623,0.392782113,339.664,0.570200391,3.732216942,1
18,5614,165.2150347,43.6157355,0.964524392,5755,84.54564923,0.772427078,351.662,0.570468133,3.787968557,1
19,8077,139.3512338,75.85750449,0.838850467,8195,101.4098408,0.851106428,351.472,0.82163415,1.837013157,0
20,6601,126.3733745,67.82924636,0.843749702,6727,91.67690132,0.647664835,314.334,0.839531273,1.863110402,0
21,5947,168.4924739,46.1747451,0.961716489,6175,87.01698439,0.43657319,357.472,0.584822055,3.649017955,1
22,6559,125.7942649,67.39900975,0.844352786,6678,91.38478087,0.597685438,319.299,0.808448535,1.866411174,0
23,6820,142.0087234,61.67246319,0.900774826,6958,93.18526544,0.577427822,332.538,0.775017801,2.302627722,0
24,5662,160.3827164,45.80748096,0.958344868,5792,84.90631486,0.520500092,343.899,0.601613957,3.501234144,1
25,5356,154.9998911,44.27908416,0.95832754,5455,82.58008841,0.416161616,334.453,0.601700317,3.500521613,1
26,9534,168.1503034,72.98625105,0.900887029,9726,110.1774288,0.549193548,396.7,0.761308381,2.303862727,0
27,6652,173.3770568,49.48826385,0.958397411,6793,92.03037244,0.427726337,371.288,0.606373591,3.503397437,1
28,3567,128.3127989,36.61023022,0.95843226,3795,67.39173136,0.48046875,278.433,0.57819131,3.504834526,1
29,5865,146.1736527,51.61919583,0.935571956,6011,86.41498672,0.550187617,326.864,0.689832575,2.831769274,0
30,6206,168.2043369,47.93064,0.958540943,6348,88.89164536,0.501211436,360.059,0.601553549,3.509327998,1
31,5748,161.6296651,45.99077087,0.958662946,5896,85.54870486,0.632621616,350.365,0.588416974,3.514393476,1
